Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
3133,18,13,95,-1,1679,209,212,138,633,Commanche,C7755,0
2950,225,0,108,3,2060,218,238,157,342,Commanche,C7756,1
3076,218,11,124,16,404,208,250,177,752,Commanche,C7755,1
2835,208,23,361,197,1650,198,254,182,1355,Commanche,C2705,1
2866,41,15,503,40,900,221,207,118,1560,Commanche,C4704,1
2812,139,11,190,60,518,236,237,130,2686,Commanche,C4704,1
2922,6,11,210,1,2016,207,219,149,300,Commanche,C7756,0
3112,59,4,730,58,2215,223,231,143,2379,Commanche,C7756,0
3607,62,30,1048,322,2457,229,164,45,1358,Rawah,C8776,0
2938,239,12,60,20,2506,197,250,189,182,Commanche,C7756,1
3270,81,11,603,-14,1392,235,221,117,2100,Rawah,C8771,0
3279,81,11,180,-16,4067,235,219,114,2188,Rawah,C8771,0
3102,349,14,190,0,2430,194,217,160,2949,Rawah,C7201,0
2473,81,6,30,9,685,228,230,136,450,Cache,C4703,1
2405,106,12,390,15,1032,240,226,114,1041,Cache,C2703,2
3087,290,12,242,33,573,187,238,191,953,Commanche,C7756,1
2994,153,9,362,76,2582,231,241,141,1650,Commanche,C7756,1
3080,290,9,342,11,2125,195,239,183,2460,Commanche,C7756,1
3053,50,18,42,0,3201,225,199,101,1250,Commanche,C7756,0
3183,25,8,306,42,2311,216,223,143,1464,Commanche,C7756,1
3176,95,33,391,89,1041,251,171,0,1804,Rawah,C7745,0
3381,264,13,272,99,2200,186,246,198,2802,Rawah,C8776,0
2866,277,16,446,220,1103,175,241,205,1800,Commanche,C7757,1
3589,280,16,366,214,3226,173,240,206,1332,Rawah,C8776,0
3076,345,7,60,6,3547,207,230,161,2195,Rawah,C7202,0
2799,51,13,272,38,1477,226,211,117,1123,Commanche,C4704,1
2888,48,12,90,16,2416,224,213,120,268,Commanche,C4758,0
3534,27,20,633,122,2753,206,191,114,1671,Rawah,C8776,0
3144,81,23,553,31,759,244,192,65,1680,Rawah,C7746,0
2753,219,28,134,58,1047,177,253,198,1822,Commanche,C2705,4
2947,118,17,127,29,2340,247,222,96,1890,Commanche,C7700,1
3378,120,15,558,96,2335,245,226,105,2251,Rawah,C8771,0
3080,57,8,458,24,3005,226,223,132,1614,Commanche,C7756,1
3086,0,1,319,29,3048,217,236,156,1528,Commanche,C7756,1
2959,75,8,162,19,1546,230,225,127,603,Commanche,C7756,0
3008,54,21,60,-7,589,227,191,88,1279,Rawah,C7745,0
3119,18,19,175,-1,1385,201,197,127,342,Commanche,C7700,0
3015,20,9,150,24,2724,214,221,143,1587,Commanche,C7756,1
2367,74,16,150,47,362,237,208,98,1199,Cache,C4703,5
2955,336,6,30,5,1170,207,232,164,162,Commanche,C7202,1
2856,29,10,384,45,1639,217,219,137,3021,Commanche,C7202,0
2759,27,10,511,-28,698,216,219,139,888,Commanche,C4704,1
2654,247,28,42,17,830,152,248,225,1423,Commanche,C4758,1
2313,272,33,60,32,1413,115,228,241,750,Cache,C4703,5
2807,189,5,153,19,1128,220,243,159,1180,Commanche,C2703,2
2931,117,16,295,23,778,246,223,101,2391,Commanche,C7756,1
2980,281,1,474,0,1864,215,238,161,966,Commanche,C7756,0
2856,203,16,90,24,960,210,253,173,1679,Commanche,C2705,1
2400,321,18,127,29,1495,172,220,186,524,Cache,C4703,5
2887,59,27,182,93,210,229,175,62,1208,Rawah,C7745,1
3075,238,12,228,52,720,198,250,189,1064,Commanche,C7756,1
2853,73,28,108,47,124,239,174,47,1008,Rawah,C7745,0
2815,160,12,30,-4,1140,233,242,139,1744,Commanche,C4703,1
3272,263,30,95,48,1323,131,238,236,2535,Rawah,C8772,0
2377,347,27,426,177,1031,158,184,157,997,Cache,C4703,5
2422,2,22,60,13,607,184,194,142,1261,Cache,C4703,5
2605,345,18,481,118,750,183,210,164,1025,Cache,C4703,2
2948,0,4,30,4,1170,213,232,156,395,Commanche,C7202,1
2437,332,19,285,59,769,173,213,177,540,Cache,C4703,5
2558,326,21,295,95,725,164,211,185,765,Cache,C2717,1
2947,36,32,335,133,2730,199,152,67,850,Commanche,C7757,1
3124,161,12,335,72,218,232,243,140,551,Commanche,C7756,1
3019,40,8,541,87,3254,221,222,135,782,Commanche,C7756,1
2948,151,6,108,8,2096,228,240,145,391,Commanche,C7756,0
3506,267,19,277,104,3047,167,244,214,1831,Rawah,C8776,0
3521,119,11,350,87,2778,239,230,120,1989,Rawah,C8776,0
3161,86,13,390,90,350,239,217,107,841,Commanche,C7756,1
3365,67,2,633,131,1809,221,235,151,1964,Rawah,C8771,0
2845,287,26,361,199,1215,137,228,225,1667,Commanche,C7757,1
2951,5,22,301,54,2873,186,191,137,916,Commanche,C7757,1
3016,315,20,150,56,2460,162,219,195,1050,Commanche,C7755,1
3002,101,18,201,59,457,247,214,89,1348,Rawah,C7745,0
3164,166,16,95,2,1302,232,244,139,2529,Rawah,C7745,0
3107,65,21,569,130,636,234,192,80,1560,Rawah,C7746,0
3426,103,25,595,144,2419,252,199,60,2268,Rawah,C8776,0
2726,180,9,30,2,1065,224,246,155,607,Commanche,C2703,2
3010,64,11,162,30,2130,230,217,118,2717,Commanche,C7202,0
3392,23,18,404,158,2003,206,198,123,2015,Rawah,C8772,0
2941,55,4,30,1,1200,222,231,145,459,Commanche,C7202,1
3525,77,17,890,291,2240,239,206,92,1556,Rawah,C8776,0
3143,81,25,120,38,1050,244,186,56,2205,Rawah,C7745,0
3520,82,22,391,86,2613,244,194,69,2213,Rawah,C8776,0
3497,57,20,808,263,2173,230,194,89,1640,Rawah,C8776,0
2856,343,13,797,126,95,193,219,165,1358,Commanche,C4704,1
3012,90,1,488,80,2828,220,237,153,1418,Commanche,C7756,1
2926,76,15,0,0,1433,237,211,101,1443,Commanche,C7202,1
2966,67,10,67,13,1080,231,219,120,108,Commanche,C7756,1
2966,318,30,309,143,2697,129,198,202,680,Commanche,C7757,1
3197,13,8,108,14,1226,212,223,148,757,Commanche,C7755,0
3191,89,13,467,114,534,240,218,106,765,Commanche,C7755,0
2878,169,16,240,95,1024,230,245,141,2978,Commanche,C4704,4
2965,306,14,120,36,2220,180,231,191,2273,Commanche,C7757,1
3084,322,8,90,8,3636,200,232,171,2112,Rawah,C7202,0
3269,87,16,426,82,721,242,212,96,1020,Commanche,C8772,6
3081,115,15,192,51,2252,245,224,103,3452,Rawah,C7745,0
2595,350,18,480,108,780,185,207,158,1053,Cache,C4703,2
3162,321,28,306,-39,3406,138,201,196,2040,Rawah,C7700,0
2848,146,15,60,14,1324,239,237,123,2442,Commanche,C7755,1
2937,86,7,30,3,2185,230,229,132,481,Commanche,C7756,0
3402,72,26,551,117,2016,239,181,57,1664,Rawah,C8776,0
3040,160,5,371,0,3332,225,241,150,918,Commanche,C7756,1
2574,327,18,390,87,872,173,217,182,1113,Cache,C4703,2
2974,136,21,446,136,696,247,226,96,1945,Commanche,C7757,1
3046,44,18,30,1,1561,221,199,106,892,Commanche,C7755,0
2875,4,15,738,145,192,199,209,146,1315,Commanche,C4703,1
3108,326,9,216,12,2067,199,231,171,2402,Commanche,C7756,1
2863,38,14,319,62,1395,219,208,121,2147,Commanche,C4704,1
2530,103,36,90,43,726,252,170,13,1050,Cache,C2705,1
3503,40,17,603,91,2748,219,199,110,1774,Rawah,C8776,0
3452,52,23,658,237,2325,225,184,82,1824,Rawah,C8776,0
2994,275,13,124,23,2768,185,243,197,765,Commanche,C7757,1
2838,220,21,361,200,1620,190,254,194,1369,Commanche,C2705,1
3257,100,17,170,15,1077,246,215,93,1053,Commanche,C7755,0
3030,36,17,218,55,1256,217,202,115,480,Commanche,C7700,0
3140,302,32,402,36,1437,117,206,221,3025,Rawah,C7745,0
2804,58,12,731,16,648,228,215,118,1339,Commanche,C4704,1
2427,85,17,525,94,690,242,209,90,1318,Cache,C4703,5
2962,288,3,67,13,1243,211,239,166,362,Commanche,C7756,1
2756,63,27,319,133,684,232,173,56,990,Commanche,C7757,1
3484,49,16,600,50,2701,225,204,109,1860,Rawah,C8776,0
2962,349,17,212,70,1440,187,210,160,1742,Commanche,C7756,1
2979,311,13,750,333,1570,184,231,186,2001,Commanche,C7755,1
2399,82,21,297,92,902,244,197,73,875,Cache,C2704,2
2490,76,15,67,17,451,237,212,102,1465,Cache,C2706,2
2821,181,27,95,28,1172,217,244,142,2917,Commanche,C2705,4
2777,131,9,134,15,618,235,235,132,2659,Commanche,C4704,1
3345,305,43,85,27,2984,72,177,224,2295,Rawah,C8772,0
2416,76,12,335,26,916,235,217,111,918,Cache,C2703,2
3112,11,10,42,4,4080,209,220,147,1756,Rawah,C7202,0
3208,91,20,192,15,2568,246,205,80,1533,Commanche,C7755,0
2451,67,16,424,110,735,234,207,100,1442,Cache,C4703,5
2477,317,10,228,34,258,193,231,178,1915,Cache,C2717,2
2870,15,17,534,140,240,202,201,133,1126,Commanche,C4704,1
2887,65,27,175,90,190,233,176,58,1436,Rawah,C7745,0
3213,297,14,272,79,1282,181,235,194,2170,Rawah,C7745,0
3118,270,9,395,64,524,195,244,187,960,Commanche,C7756,1
3195,45,13,192,-3,1448,223,210,119,497,Commanche,C7756,1
3015,293,5,514,100,2689,205,239,173,1652,Commanche,C7756,1
2967,71,25,30,-9,457,238,183,61,1343,Rawah,C7746,0
3176,315,1,0,0,4458,216,237,159,1764,Rawah,C7202,0
2865,5,10,234,-9,1465,207,220,150,2856,Commanche,C4704,1
3312,61,20,210,30,1907,232,195,87,2616,Rawah,C8772,0
3161,146,14,127,8,3373,239,237,124,2649,Rawah,C7745,0
3342,26,20,459,127,2125,206,192,115,2058,Rawah,C8772,0
2757,68,4,120,12,408,224,231,142,2658,Commanche,C7755,1
2703,37,2,150,4,60,219,234,151,743,Commanche,C6102,4
3160,320,24,190,49,1248,152,210,194,2190,Rawah,C7745,0
3155,141,10,247,49,2356,235,238,133,1637,Commanche,C7756,1
3235,32,7,450,130,1380,219,224,142,2525,Rawah,C7745,0
3096,272,14,277,42,488,183,244,199,890,Commanche,C7756,1
2807,94,12,108,6,510,239,221,110,2581,Commanche,C4704,1
2344,150,32,297,1,426,241,220,81,700,Cache,C2704,2
3113,326,3,309,39,2147,211,235,163,2321,Commanche,C7756,0
3333,315,27,323,97,3616,137,206,203,3856,Rawah,C8772,6
2851,74,18,301,63,1293,238,204,91,1465,Commanche,C4703,1
2847,39,12,255,46,1328,220,212,125,2155,Commanche,C4704,1
2830,64,9,824,4,600,229,221,125,1273,Commanche,C4704,1
2532,297,11,342,146,947,189,237,187,1316,Cache,C4703,1
2991,133,10,300,73,2493,236,235,129,1741,Commanche,C7756,1
2863,125,13,108,9,2376,242,230,115,569,Commanche,C4758,1
2484,297,14,162,48,300,179,234,195,182,Cache,C4703,1
3042,255,11,67,12,3000,195,247,190,1116,Commanche,C7757,1
3053,17,17,210,-8,1412,204,203,132,612,Commanche,C7700,0
3207,119,19,361,67,1129,249,220,92,1771,Rawah,C7745,0
3128,112,28,258,79,3203,254,197,50,2708,Rawah,C7745,0
3010,151,21,499,71,524,241,235,114,1974,Commanche,C7757,1
2994,324,15,324,62,2985,181,223,181,1283,Commanche,C7756,1
2401,2,23,85,22,677,182,190,141,1206,Cache,C4703,5
2768,350,8,30,0,793,205,226,159,2504,Commanche,C6102,1
3123,87,16,67,-9,4172,242,213,97,1986,Rawah,C7745,0
3143,111,23,150,0,4143,252,208,71,2093,Rawah,C7745,0
3244,90,10,162,32,4187,236,224,118,1944,Rawah,C7202,0
2939,112,15,242,31,726,244,224,105,2374,Commanche,C7756,1
2959,40,14,60,-6,1529,220,208,120,1396,Commanche,C7757,1
2982,108,8,297,25,2581,235,231,128,1654,Commanche,C7102,0
3139,84,15,301,68,400,240,214,101,767,Commanche,C7756,1
2338,63,26,60,19,883,232,178,63,997,Cache,C4703,5
3077,81,11,721,78,2599,235,221,117,2137,Commanche,C7756,0
2904,60,25,150,-7,255,230,181,69,942,Rawah,C7745,0
3304,307,22,256,-20,3699,155,221,204,3893,Rawah,C8771,6
3219,320,15,120,17,4220,181,225,183,1465,Rawah,C7202,6
3327,9,17,30,7,3671,199,205,140,2340,Rawah,C8708,6
2931,19,33,228,15,323,177,152,94,1566,Rawah,C7745,0
2842,118,6,674,16,690,230,235,138,1351,Commanche,C4704,0
2913,200,19,300,75,886,209,253,171,2241,Commanche,C7757,4
2877,87,25,150,70,162,247,190,56,967,Rawah,C7745,1
2831,11,15,457,101,90,203,209,141,1032,Commanche,C4704,1
3244,188,21,150,35,3342,217,250,158,2889,Rawah,C7745,0
2798,32,15,319,102,1101,216,207,124,1747,Commanche,C4704,1
2362,52,8,30,4,558,225,223,132,824,Cache,C6101,2
3185,60,9,42,0,1597,228,221,126,543,Commanche,C7756,0
2702,41,20,127,37,1717,218,193,102,1165,Commanche,C4703,1
2843,22,16,210,55,1233,208,205,130,3097,Commanche,C7756,0
